aardwolves aardwolf
abaci abacus
abetted abet
abetting abet
abhorred abhor
abhorring abhor
abode abide
aboideaux aboideau
aboiteaux aboiteau
abought aby
about-shipped about-ship
about-shipping about-ship
abscissae abscissa
abutted abut
abutting abut
abye aby
acanthi acanthus
acari acarus
acciaccature acciaccatura
accompanied accompany
acetabula acetabulum
acetified acetify
achaemenidae achaemenid
achaemenides achaemenid
acicula aciculum
aciculae acicula
acidified acidify
acini acinus
acquitted acquit
acquitting acquit
acre-feet acre-foot
acromia acromion
actiniae actinia
actinozoa actinozoan
ad-libbed ad-lib
ad-libbing ad-lib
addenda addendum
addrest address
adenocarcinomata adenocarcinoma
adenomata adenoma
adieux adieu
admitted admit
admitting admit
adyta adytum
aecia aecium
aecidia aecidium
aerified aerify
aerobia aerobium
agents-general agent-general
aggiornamenti aggiornamento
agnomina agnomen
agones agon
agorae agora
agouties agouti
aides-de-camp aide-de-camp
aides-memoire aide-memoire
aids-de-camp aid-de-camp
air-dried air-dry
airdropped airdrop
airdropping airdrop
alae ala
alewives alewife
alkalies alkali
alkalified alkalify
allied ally
allodia allodium
allotted allot
allotting allot
allowed_for allow_for
allowing_for allow_for
allows_for allow_for
alluvia alluvium
alodia alodium
alto-relievos alto-relievo
alto-rilievo
altocumuli altocumulus
altostrati altostratus
alulae alula
alumnae alumna
alumni alumnus
alveoli alveolus
am be
amanuenses amanuensis
ambulacra ambulacrum
amebae ameba
amici_curiae amicus_curiae
ammonified ammonify
amnestied amnesty
amnia amnion
amniocenteses amniocentesis
amoebae amoeba
amoebiases amoebiasis
amoraim amora
amoretti amoretto
amorini amorino
amphiarthroses amphiarthrosis
amphicia amphithecium
amphimixes amphimixis
amphioxi amphioxus
amphisbaenae amphisbaena
amphorae amphora
amplified amplify
ampullae ampulla
amygdalae amygdala
anabases anabasis
anacolutha anacoluthon
anacruses anacrusis
anaerobia anaerobium
anagnorises anagnorisis
analemmata analemma
analyses analysis
anamneses anamnesis
anamorphoses anamorphosis
anastomoses anastomosis
anatyxes anaptyxis
ancones ancon ancone
androclinia androclinium
androecia androecium
androsphinges androsphinx
andtheridia antheridium
angelfishes angelfish
angiomata angioma
anglified anglify
animalcula animalculum
anlagen anlage
annattos anatto annatto
annuli annulus
annulled annul
annulling annul
antae anta
antalkalies antalkali
antefixa antefix
antennae antenna
antependia antependium
anthelia anthelion
anthelices anthelix
anthemia anthemion
antheridia antheridium
anthodia anthodium
anthozoa anthozoan
anthraces anthrax
anticlinoria anticlinorium
antihelices antihelix
antiheroes antihero
antisera antiserum
antitheses antithesis
antitragi antitragus
antra antrum
anus anus
aortae aorta
aphelia aphelion
aphides aphis
apices apex
apodoses apodosis
apomixes apomixis
aponeuroses aponeurosis
apophyses apophysis
aposiopeses aposiopesis
apothecia apothecium
apotheoses apotheosis
appalled appal appall
appalling appal appall
apparatus apparatus
appendices appendix
applied apply
appoggiature appoggiatura
apsides apsis
aquae aqua
aquaria aquarium
araglis argali
arboreta arboretum
arcana arcanum
archegonia archegonium
archerfishes archerfish
archesporia archesporium
archipelagoes archipelago
arcked arc
arcking arc
arcs-boutants arc-boutant
are be
areolae areola
argali argali
argufied argufy
argumenta argumentum
ariette arietta
arisen arise
aristae arista
armamentaria armamentarium
arose arise
arses arsis
artal rotl
artel rotl
arterioscleroses arteriosclerosis
aruspices aruspex
asceses ascesis
asci ascus
ascidia ascidium
ascogonia ascogonium
ashes ash
ashkenazim ashkenazi
aspergilla aspergillum
aspergilli aspergillus
aspergilloses aspergillosis
aspersoria aspersorium
assegais assagai assegai
astragali astragalus
asyndeta asyndeton
ate eat
atheromata atheroma
atheroscleroses atherosclerosis
atmolyses atmolysis
atria atrium
atrophied atrophy
attorneys-at-law attorney-at-law
auditoria auditorium
aurae aura
aurar eyir
aurar eyrir
aurei aureus
auriculae auricula
aurorae aurora
auspices auspex auspice
autocatalyses autocatalysis
autochthones autochthon
automata automaton
autos-da-fe auto-da-fe
averred aver
averring aver
avitaminoses avitaminosis
awoke awake
awoken awake
axes ax axis
axillae axilla
babied baby
baby-sat baby-sit
baby-sitting baby-sit
bacchantes bacchant bacchante
bacchii bacchius
bacilli bacillus
back-pedalled back-pedal
back-pedalling back-pedal
backbit backbite
backbitten backbite
backslid backslide
backslidden backslide
bacteriostases bacteriostasis
bacula baculum
bade bid
bagged bag
bagging bag
bains_marie bain_marie
bains-marie bain-marie
ballistae ballista
ballyragged ballyrag
ballyragging ballyrag
bambini bambino
bandeaux bandeau
bandied bandy
banditti bandit
bani ban
banjoes banjo
banned ban
banning ban
barklice barklouse
barramundies barramundi
barred bar
barrelled barrel
barrelling barrel
barring bar
bases base basis
bases_on_balls base_on_balls
bases-on-balls base_on_balls
basidia basidium
basified basify
basileis basileus
bassi basso
bastinadoes bastinado
bateaux bateau
batfishes batfish
batted bat
batting bat
bayonetted bayonet
bayonetting bayonet
beadsmen beadsman bedesman
beaten beat
beatified beatify
beautified beautify
beaux beau
became become
became_known become_known
beches-de-mer beche-de-mer
becomes_known become_known
bed bed
bedded bed
bedding bed
bedevilled bedevil
bedevilling bedevil
bedimmed bedim
bedimming bedim
been be
beeves beef
befallen befall
befell befall
befitted befit
befitting befit
befogged befog
befogging befog
began begin
begat beget
begetting beget
begged beg
begging beg
beginning begin
begirt begird
begot beget
begotten beget
begun begin
beheld behold
beholden behold
behooves behoof
bejewelled bejewel
bejewelling bejewel
bellied belly
belly-flopped belly-flop
belly-flopping belly-flop
belying belie
benefitted benefit
benefitting benefit
benempt bename
bent bend
berried berry
bersaglieri bersagliere
besetting beset
besought beseech
bespoke bespeak
bespoken bespeak
bestirred bestir
bestirring bestir
bestrewn bestrew
bestrid bestride
bestridden bestride
bestrode bestride
betaken betake
bethought bethink
betook betake
betted bet
betting bet
bevelled bevel
bevelling bevel
bhishties bheesty bhishti
biassed bias
biassing bias
bibliothecae bibliotheca
bicennaries bicentenary bicentennial
bidden bid
bidding bid
bijoux bijou
bilboes bilbo
billets-doux billet-doux
billfishes billfish
bimboes bimbo
bing bing
binned bin
binning bin
bird-dogged bird-dog
bird-dogging bird-dog
bisectrices bisectrix
bit bite
bitted bit
bitten bite
bitting bit
bivouacked bivouac
